DOI,PMID,标题,发表日期,评级,分数,通讯作者,邮箱,电话,机构（中文）,Pipeline 来源,处理时间
10.1080/10872981.2026.2614233,41532745,Do games work? A meta-analytic synthesis of gamified learning for clinical reasoning in medical and allied health education.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17441692.2025.2610905,41476289,"Bogotá, Colombia's single route of attention for women victims of violence and at risk of femicide: 'Choques' (collisions) - perspectives of human rights lawyers stationed in health facilities.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/02656736.2026.2636637,41813588,Incomplete thermal ablation accelerates local and systemic tumor progression in an immunocompetent prostate cancer model.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/0886022X.2026.2630507,41808346,Lactate induces renal lipid accumulation and aggravates renal fibrosis by inhibiting the PPARα signaling pathway and fatty acid oxidation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16078454.2026.2641929,41808030,High body-mass index and multiple myeloma risk: insights from the global burden of disease 2021 study and identification of core target genes.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/20008066.2026.2633003,41801980,The Aarhus Prolonged Grief Disorder Scale (A-PGDs): identification of a clinically validated cut-off score for identifying bereaved at risk of PGD.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2640457,41800605,Preclinical advances and mechanistic insights of CAR-T therapy for acute myeloid leukemia: from target iteration to microenvironment regulation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21691401.2026.2632551,41758521,Protective effect of Salvia Miltiorrhiza Injection on myocardial injury in rats with haemorrhagic shock resuscitated by HBOC-CHP01.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14647273.2026.2633925,41736557,Management of endometrial polyps in fertility: British fertility Society policy and practice guideline.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2635200,41729159,Dynamic lysine acetylation and succinylation of platelet proteins regulates platelet storage lesion: mechanistic insights from multi-omics.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1007/s13755-026-00429-y,41725781,LDComKG: an LLM-powered dual-enhanced framework for community-aware knowledge graph completion in traditional Chinese medicine.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645515.2026.2635243,41722038,Mapping research trends in esophageal cancer immunotherapy: A decade of thematic evolution and emerging priorities.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/22221751.2026.2627079,41719084,Mapping transcriptional patterns of MPXV in human epithelial cells.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15476286.2026.2634198,41715892,Optimizing protocols for microRNA profiling of infant and toddler stool.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13510002.2026.2626181,41706678,DRP1 depletion protects NK cells from hypoxia-induced dysfunction.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14767058.2026.2629082,41702656,Impact of fetal and maternal genetically predicted birth weight on cardiometabolic risk: a Mendelian randomization study of cytokine mediation in Europeans.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13510002.2026.2632434,41697789,Prophylactic quercetin administration attenuates pulmonary fibrosis via ferroptosis-resistant priming of alveolar epithelial cells.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/22221751.2026.2620241,41678145,Involvement of the African swine fever virus protein pH108R in virion morphogenesis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.apjon.2026.100852,41675203,A self-service response system to improve nutrition impact symptoms management among home-based patients with advanced cancer and their family caregivers.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645515.2026.2628395,41661234,"Advancing the understanding of the immune escape in lung cancer immunotherapy: Global trends, collaborations, and future directions.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2624240,41649882,Heterogeneity in the efficacy of bosentan for hypertensive nephropathy: a study on individualized benefit prediction models based on pathological subtyping and dynamic trajectories.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1007/s13755-025-00422-x,41635647,Pose2met: a unified spatiotemporal framework for 3D human pose estimation and energy expenditure estimation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16549716.2026.2615495,41623062,"A network analysis of mental, somatic health, and perceived social supports among Chinese pregnant and postpartum women.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14760584.2026.2626920,41622674,Adherence and efficacy of the 0 - 7 - 21-day versus the 0 - 1 - 6-month hepatitis B vaccination schedules among people who use drugs: a two-year randomized controlled trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645515.2025.2610073,41615147,Pentameric M2e influenza vaccine candidate generates strong immunity with limited survival benefit.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21691401.2026.2618968,41604519,The mechanism of Gei Herba against type 2 diabetes mellitus: an integration of gut microbiota and network pharmacology analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2613502,41588833,Advances in pharmacological interventions for hepatic fibrosis: from pathogenic mechanisms to novel therapeutic targets.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/20008066.2026.2613554,41586786,Network analysis of changes in post-migration stressors during treatment for refugees with PTSD.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.apjon.2025.100840,41585540,Frailty profiles and symptomatic radiation pneumonitis in patients with lung cancer undergoing radiotherapy: A latent class analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2616549,41555749,Choosing real-world data for clinical and epidemiological research: methodological lessons from NHIRD and TriNetX-A narrative review.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2617724,41552903,Coagulation dysfunction in children with secondary hemophagocytic lymphohistiocytosis: a comprehensive analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.apjon.2025.100839,41552715,Development and preliminary validation of a PICC-related venous thrombosis risk prediction model for cancer patients: A systematic review and meta-analysis predominantly based on Chinese populations.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2615487,41546495,Comparative analysis of three different serum-free light chain assays in the diagnosis of multiple myeloma.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.apjon.2025.100825,41536887,Stigma experiences among young and middle-aged testicular cancer survivors in China: A phenomenological study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645698.2025.2610592,41527205,From lab to market: industrialization barriers and regulation optimization for new breeding technologies in China.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/19396368.2025.2599792,41520345,Possible mechanisms and clinical innovations of sequential embryo transfer in assisted reproduction.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/25310429.2025.2611215,41511276,Blood eosinopenia (≤30/µL) as an early predictor of respiratory failure in community-acquired pneumonia: A prospective multicentre study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16549716.2025.2591543,41504720,"Challenges and barriers in managing Type 2 diabetes: insights from a qualitative study of patients' experiences at a university hospital in Qassim, Saudi Arabia.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16549716.2025.2599011,41480977,Community Health Participatory interventions in the prevention and control of non-communicable diseases including mental health in crisis-affected Low-and Middle-Income Countries - a scoping review.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13880209.2025.2606959,41466499,Jianpi Zishen Decoction ameliorates renal damage induced by systemic lupus erythematosus through inhibition of the TLR4/MAPK pathway.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/24699322.2025.2597553,41452320,"Reinforcement learning for medical image analysis: a systematic review of algorithms, engineering challenges, and clinical deployment.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/23335432.2025.2604318,41414717,Effects of core-lower limb coordinated Pilates on gait and balance in women with flexible pes planus: a pilot randomized controlled trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15384101.2025.2599081,41392602,Dysregulation of the Cyclin D/E2F activity as a core mechanism driving cancer stem cell plasticity and cell cycle dynamics.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/22221751.2025.2602319,41363859,The prevalence and molecular epidemiology of ,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/22221751.2025.2602315,41363045,"Smartphone-assisted upconversion nanoparticle assay for rapid multiplex detection of H5, H7, and H10 avian influenza viruses.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21505594.2025.2590305,41263641,Surface proteome of plasma extracellular vesicles differentiates between SARS-CoV-2 and influenza infection.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/02813432.2025.2587543,41218930,A desire to be embraced - the lived experience of encountering primary health care for a person with mental health problems. A descriptive phenomenological study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.idm.2025.12.015,41694614,Within host dynamics of HPV infection with cellular immunity and HPV-infected dormant cells reactivation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.4103/mgr.MEDGASRES-D-25-00191,41496306,Gas therapy: an innovative application for intervertebral disc degeneration.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.4103/mgr.MEDGASRES-D-25-00096,41496298,Clinical applications of artificial intelligence-driven nitric oxide: a bibliometric and scientific mapping analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.4103/mgr.MEDGASRES-D-25-00190,41490425,"Hydrogen sulfide in precision medicine: connecting basic science, sensing, and clinical application.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1242/dev.205136,41660686,Break to build: fracture as a unifying morphogenetic strategy.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1242/dev.204584,41503687,An avidity-driven mechanism of extracellular BMP regulation by Twisted gastrulation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.fm.2025.105022,41722974,Multi-omics investigation of microbial community dynamics and metabolic regulation in mulberry wine fermentation under temperature and acid stress.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.bioelechem.2026.109243,41628535,Silica-detoxified perovskite ECL: Cas13a-triggered signal-on sensing with CsPbBr₃@SiO₂@Au.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.bioelechem.2026.109228,41534133,From data to diagnosis: A comprehensive review of machine learning-driven wearable sensors in healthcare.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.bioactmat.2026.02.014,41756688,Advances in delivery technologies-powered cancer vaccines.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121421,41747833,Differential effects of transcranial direct current stimulation on depression symptom clusters.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jcis.2026.140166,41747582,Enabling efficient water dissociation in bipolar membranes via collaborative amorphous carbon-TiO,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jcis.2026.140158,41740572,Field-responsive structural color and fluorescence in Fe,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.biomaterials.2026.124066,41707374,"Emerging functionalized artificial periostea: Diverse origins, multifaceted roles and therapeutic frontiers.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.talanta.2026.129520,41687294,"Magnetic bead-assisted extraction combined with ID-LC-MS/MS for simultaneous quantification of fat-soluble vitamins A, D, E, and K in human serum.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.talanta.2026.129488,41671747,Potential adoption of electrochemical biosensors for cancer DNA biomarker detection in liquid biopsies: A systematic review.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.apergo.2026.104723,41633266,Root cause analysis of airplane technical failures with Rasmussen's risk management framework (RRMF) based human-machine-environment-procedure (HMEP) taxonomy.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.biomaterials.2026.124013,41576479,Ultrasound-activated metal-polyphenol nanodroplets for tumor cuproptosis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.biomaterials.2026.123997,41534230,Shaping mesenchymal stem cell fate with a two-dimensional covalent triazine framework for calmodulin modulation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121506,41747832,"Maternal depressive symptoms, child maltreatment, and children's externalizing problems: A three-wave longitudinal study from preschool to school age.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.bios.2026.118545,41740420,High-throughput screening of bladder cancer exosome biomarkers by barcodes integrated herringbone microfluidics.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jcis.2026.140124,41730821,Proteoliposomes containing ATPase as microreactors to mimic microbial metabolism for bioenergy synthesis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121482,41730352,"Readiness to change: Exploring clinical, cognitive and neural predictors of treatment efficacy following virtual reality-based cognitive remediation in mood and schizophrenia spectrum disorders.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jcis.2026.140135,41724038,Hollow-core wood hemicellulose-based microcapsules entrap probiotics within protective walls.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jcis.2026.140139,41713242,Dual-driven magnetic nanocomposites enabling universal adsorption of perfluorocarboxylic acids (PFCAs) across ultrashort to long chains.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121446,41707728,Assessing the structural validity of the SCL-Dep6 depression subscale using rasch analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121437,41707721,"Cardiorespiratory fitness, grip strength and depression symptoms: A Mendelian Randomization study.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121447,41707715,Assessing symptom severity in patients with markedly treatment-resistant depression: Insights from the RECOVER trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121385,41690631,Examining the effects of psilocybin-assisted psychotherapy on anhedonia in treatment-resistant depression.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jpba.2026.117410,41687223,Serum metabolomics reveal metabolic changes in coal workers' pneumoconiosis progression.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1016/j.jad.2026.121376,41679392,Neurobiological mechanisms of anhedonia in adolescents with mood disorders: A scoping review.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/0167482X.2026.2643521,41816966,"Translation, cultural adaptation, and validation of the Portuguese version of ENDOPAIN-4D questionnaire.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15476278.2026.2630543,41684102,Comparison of vascular remodeling between a bioresorbable poly-L-lactic acid scaffold and a bare metal stent: a 6-month angiography and intravascular ultrasound analysis in porcine iliac arteries.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/23288604.2025.2609358,41592278,"Quantifying the Intangible: Evidence from Nigeria on the Impact of Supervision, Autonomy, and Management Practices on PHC Performance in the Context of Direct Facility Financing.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10717544.2026.2617688,41572720,Advancements and challenges in ophthalmic microneedles to treat eye diseases.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/17441692.2025.2608431,41552966,Refractive error correction and harvest worker productivity in the Guatemalan coffee sector: A quasi-experimental analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13685538.2025.2578628,41527383,A current profile of digital health literacy: patients undergoing holmium laser enucleation of the prostate (HoLEP). Different outcomes with population variation. A new prospective study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/09513590.2025.2612154,41527377,Dydrogesterone versus levonorgestrel-releasing intrauterine system for abnormal uterine bleeding: a propensity score-matched analysis of long-term efficacy and recurrence.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15476278.2025.2575599,41520279,Optimization of TX-100/SDS-based decellularized vascular material using ultrasound and chemical treatment: evaluation of structure and biosafety.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/10717544.2025.2608235,41496478,Cell swelling and upright mounting-based imaging for high-resolution visualization of intracellular trafficking across the BBB using conventional confocal microscopy.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/15476278.2025.2610591,41474393,A novel tissue-engineered stent graft combining decellularized scaffold and bioresorbable stent: a pilot feasibility study in a porcine model.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/0167482X.2025.2606355,41454438,The use of the shortened versions of the perceived stress scale in the obstetric population: assessing agreement and reliability.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/19490976.2025.2604875,41427586,Miniature bioreactor arrays for modeling functional and structural dysbiosis in inflammatory bowel disease.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1007/s44463-025-00007-y,41821971,Cross-stress adaptation enhances the survival and stability of freeze-dried lactic acid bacteria.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2643495,41821180,'The good idea': a commentary on a decade of barbed sutures in cesarean surgery.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/0886022X.2026.2641842,41820022,Comparative efficacy of low-concentration trisodium citrate and low-concentration heparin for locking central venous hemodialysis catheters: a randomized controlled study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/20008066.2026.2635315,41812023,Psychometric properties of the Ukrainian version of Dissociative Subtype of Posttraumatic Stress Disorder Scale (DSPS).,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2642476,41810848,High-flow versus standard nasal cannula oxygenation for post-procedural quality of recovery in older adults undergoing sedated ERCP: protocol for a randomized controlled trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/0886022X.2026.2640723,41803640,Impact of the drug-coated balloon-to-predilation balloon diameter ratio on restenosis risk in hemodialysis access: a study of nonlinear association.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08941939.2025.2586017,41797600,Comparison of a TrachoSpray Device and Manual Lidocaine Spray on Hemodynamic Stability and Postoperative Sore Throat in Patients Undergoing Double-Lumen Tube Intubation: A Randomized Controlled Trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16549716.2026.2633877,41788078,Integration of ear and hearing care services in low- and middle-income health systems: a systematic review and qualitative synthesis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14767058.2026.2637921,41786457,Efficacy and safety assessment of pliant forceps in assisted vaginal delivery.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/09546634.2026.2635882,41778357,Treatment of redness in rosacea with potassium-titanyl-phosphate (KTP) 532 nm laser with and without topical 1% ivermectin cream: a randomized split-face trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13696998.2026.2636435,41776171,Management of moderate-to-highly exuding leg ulcers with polyacrylate superabsorbent wound dressings versus foam dressings in spanish settings: an early-stage cost-effectiveness and budget-impact analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/16549716.2026.2629075,41766494,"Chlorfenapyr-pyrethroid nets for pyrethroid-resistant malaria vectors: efficacy, resistance risks, and policy implications.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1117/1.JBO.31.12.123303,41756507,3D-motion mapping of the malleus-incus complex using a robot-mounted optical coherence tomography vibrometry system.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2634488,41736560,Association between hypothermic machine perfusion parameters and graft function in deceased donor kidney transplantation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1117/1.JBO.31.12.123302,41727281,Robot-assisted minimally invasive photoacoustic imaging for monitoring liver ablation using diffusing fiber illumination.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/09546634.2026.2619292,41725552,Severe diffused glans penis venous malformation: successful management with 'fractional' Long-pulsed Nd: YAG laser therapy.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14767058.2026.2630531,41724577,Assessing the institutional provision of maternal nutrition services in antenatal clinics in Beijing.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/14756366.2026.2631215,41711685,Reactive oxygen species (ROS) research in drug discovery and drug delivery: Can the medium Be a Trojan Horse disguised as something benign?,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08941939.2026.2624332,41709101,A Retrospective Comparative Study on the Omission Versus Placement of Chest Drain Following Thoracoscopic Sublobar Resection.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08941939.2026.2622155,41704059,Comparative Evaluation of Intraocular Lens Power Calculation Formulas in Patients After Radial Keratotomy.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/20008066.2026.2624340,41696863,The CARE implementation study: scaling group-based psychoeducational trauma therapy across healthcare organizations in Canada.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2625586,41680612,Lipid-lowering medication reduces more target lesion than non-target lesion revascularizations: a cohort study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08037051.2026.2629644,41661211,Long-term efficacy and safety of first- and second-generation baroreflex activation devices in refractory hypertension: a single center retrospective analysis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/13696998.2026.2622856,41661066,Cost-effectiveness and budget impact of PFO closure: Cardioform vs Amplatzer and medical therapy for secondary stroke prevention in Australia.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/09546634.2026.2617778,41657060,Application of a subcutaneous tissue pedicle flap combined with a labial mucosa flap for reconstruction of full-thickness lower lip defects: a prospective observational study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2624994,41649892,Nomogram for predicting in-stent stenosis after pipeline embolization device treatment in patients with unruptured intracranial aneurysm: a multicenter model development and validation study.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1007/s11571-026-10412-8,41647142,Five-class motor imagery BCI classification and its application to brain-controlled wheelchairs.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/02656736.2026.2620728,41638992,Subharmonics are not an infallible safety metric for cavitation dynamics.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/25310429.2026.2621546,41635252,Dual-correction robotic bronchoscopy system with ultra-thin catheter for diagnosing challenging peripheral pulmonary nodules: A multi-centre prospective trial.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/07853890.2026.2623329,41631490,Comparative effectiveness of percutaneous coronary intervention strategies for coronary small-vessel disease: a network meta-analysis of randomized trials.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645515.2026.2615515,41630477,A data-driven cartography of NSCLC vaccine research: Quantifying the paradigm shift toward immuno-oncology combination therapies.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/08941939.2026.2620177,41623153,"An International Prospective, Non-Randomized Comparative Study with Articulating Laparoscopic Instruments in Benign Adnexal Gynecologic Surgery.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/21645515.2026.2619235,41614604,Advancing intradermal vaccine delivery: Focus on hollow microneedles and skin models.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
10.1080/23335432.2026.2624302,41612760,Is the head-mounted laser an appropriate tool to measure cervical movement across three planes?,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:52:07
