DOI,PMID,标题,发表日期,评级,分数,通讯作者,邮箱,电话,机构（中文）,Pipeline 来源,处理时间
10.1080/19490976.2026.2623353,41620634,Dynamic involvement of the core gut microbiome XNP_Guild1 in the evolution of gestational diabetes mellitus.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/10717544.2026.2616887,41566888,Development and evaluation of alginate-based gastroretentive raft-forming systems enabling sustained release of propolis in gastric ulcer treatment.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/21505594.2026.2620200,41560560,Genomic characterization of ,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/17482631.2026.2615154,41543227,Legislative compliance in coordinated care transitions: a mixed-method study of healthcare professionals' documentation and older adults' experiences.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/10872981.2026.2614233,41532745,Do games work? A meta-analytic synthesis of gamified learning for clinical reasoning in medical and allied health education.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/17441692.2025.2610905,41476289,"Bogotá, Colombia's single route of attention for women victims of violence and at risk of femicide: 'Choques' (collisions) - perspectives of human rights lawyers stationed in health facilities.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/02656736.2026.2636637,41813588,Incomplete thermal ablation accelerates local and systemic tumor progression in an immunocompetent prostate cancer model.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/0886022X.2026.2630507,41808346,Lactate induces renal lipid accumulation and aggravates renal fibrosis by inhibiting the PPARα signaling pathway and fatty acid oxidation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/16078454.2026.2641929,41808030,High body-mass index and multiple myeloma risk: insights from the global burden of disease 2021 study and identification of core target genes.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/20008066.2026.2633003,41801980,The Aarhus Prolonged Grief Disorder Scale (A-PGDs): identification of a clinically validated cut-off score for identifying bereaved at risk of PGD.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/07853890.2026.2640457,41800605,Preclinical advances and mechanistic insights of CAR-T therapy for acute myeloid leukemia: from target iteration to microenvironment regulation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/21691401.2026.2632551,41758521,Protective effect of Salvia Miltiorrhiza Injection on myocardial injury in rats with haemorrhagic shock resuscitated by HBOC-CHP01.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/14647273.2026.2633925,41736557,Management of endometrial polyps in fertility: British fertility Society policy and practice guideline.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/07853890.2026.2635200,41729159,Dynamic lysine acetylation and succinylation of platelet proteins regulates platelet storage lesion: mechanistic insights from multi-omics.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1007/s13755-026-00429-y,41725781,LDComKG: an LLM-powered dual-enhanced framework for community-aware knowledge graph completion in traditional Chinese medicine.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/21645515.2026.2635243,41722038,Mapping research trends in esophageal cancer immunotherapy: A decade of thematic evolution and emerging priorities.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/22221751.2026.2627079,41719084,Mapping transcriptional patterns of MPXV in human epithelial cells.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/15476286.2026.2634198,41715892,Optimizing protocols for microRNA profiling of infant and toddler stool.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/13510002.2026.2626181,41706678,DRP1 depletion protects NK cells from hypoxia-induced dysfunction.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/14767058.2026.2629082,41702656,Impact of fetal and maternal genetically predicted birth weight on cardiometabolic risk: a Mendelian randomization study of cytokine mediation in Europeans.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/13510002.2026.2632434,41697789,Prophylactic quercetin administration attenuates pulmonary fibrosis via ferroptosis-resistant priming of alveolar epithelial cells.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/22221751.2026.2620241,41678145,Involvement of the African swine fever virus protein pH108R in virion morphogenesis.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1016/j.apjon.2026.100852,41675203,A self-service response system to improve nutrition impact symptoms management among home-based patients with advanced cancer and their family caregivers.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/21645515.2026.2628395,41661234,"Advancing the understanding of the immune escape in lung cancer immunotherapy: Global trends, collaborations, and future directions.",,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1080/07853890.2026.2624240,41649882,Heterogeneity in the efficacy of bosentan for hypertensive nephropathy: a study on individualized benefit prediction models based on pathological subtyping and dynamic trajectories.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
10.1007/s13755-025-00422-x,41635647,Pose2met: a unified spatiotemporal framework for 3D human pose estimation and energy expenditure estimation.,,C,50,,,,,pipeline_v1_jina,2026-03-15 23:19:12
